timestamp,date,hour,day_name,is_weekend,source_type,confidence_score,Confidence_Category,is_fallback,root_cause,query_word_count,query_length,response_length,final_query_clean,llm_output,source_evidence,num_chunks,chunk_character_count,chunk_faithfulness,chunk_rank,Execution_time,total_tokens,Model_used
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,Course_Material,0.75,Medium,False,Success,8,37,0,what is the law and regulation in HSE,,Source context loaded,4.0,1175.0,0.85,1,2.209800673645792,2884,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,Course_Material,0.95,High,False,Success,13,73,0,What is Lov policy and do you have any Laws related to arbeidsmiljoloven?,,Source context loaded,4.0,940.0,0.85,1,1.476624440525998,7913,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,General_course,0.95,High,False,Success,11,65,0,suggest me some HSE course in pricing wose decending orders list?,,Source context loaded,3.0,664.0,0.85,1,1.3356484939152353,6623,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,General_course,0.8,Medium,False,Success,6,33,0,List of available Courses for me?,,Source context loaded,5.0,1317.0,0.85,1,0.9044454782056328,6831,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,Course_Material,0.8,Medium,False,Success,8,47,0,Tell me more about the Scaffold builder course?,,Source context loaded,5.0,1285.0,0.85,1,1.2169338921770776,7239,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,General_course,0.55,Low,False,Success,6,24,0,How can i purchased it ?,,Source context loaded,2.0,531.0,0.85,1,1.4034232991973787,3460,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,Course_Material,0.2,Low,False,Success,15,71,0,What is the leave policy if I am injured by a chemical at my workplace?,,Source context loaded,3.0,819.0,0.85,1,2.4136819064171355,5046,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,Course_Material,0.8,Medium,False,Success,8,40,0,What is Leave policy for a pragnent lady,,Source context loaded,4.0,932.0,0.85,1,2.294322980603643,3609,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.85,Medium,False,Success,6,37,0,what is aml or Arbeidsmiljøloven laws,,Source context loaded,4.0,1077.0,0.85,1,1.1566136012901205,4372,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,Course_Material,0.9,High,False,Success,12,63,0,what should i do if my manager doesn't follow the safety rules?,,Source context loaded,3.0,847.0,0.85,1,2.198242862927237,7355,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.85,Medium,False,Success,8,53,0,summarized this Forskrift om utførelse av arbeid laws,,Source context loaded,6.0,1627.0,0.85,1,0.903059967392853,4856,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.95,High,False,Success,9,41,0,whay is the purpose of HSE at workspace ?,,Source context loaded,5.0,1370.0,0.85,1,1.4169790607466206,6970,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,General_course,0.85,Medium,False,Success,4,13,0,who are you ?,,Source context loaded,5.0,1317.0,0.85,1,2.1908530079615574,3620,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.75,Medium,False,Success,10,58,0,What is purpose of 'Forskrift om utførelse av arbeid laws',,Source context loaded,4.0,976.0,0.85,1,0.5094129436616615,5229,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,General_course,0.95,High,False,Success,9,44,0,How can i purchased a HMS course for manager,,Source context loaded,5.0,1335.0,0.85,1,0.94735621953916,4885,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,General_course,0.95,High,False,Success,13,92,0,"Hva er formålet med kurset ""Skreddersydd opplæring i brann og eksplosjonsvern i industrien""?",,Source context loaded,5.0,1494.0,0.85,1,2.3720877493150296,5389,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,General_course,0.85,Medium,False,Success,14,121,0,What topics are covered in this course(course name -brann-og-eksplosjonsvern-i-industrien) on fire and explosion hazards?,,Source context loaded,5.0,1404.0,0.85,1,2.355139076753531,3799,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,Course_Material,0.92,High,False,Success,13,83,0,what is the puspose of Course on SHA and the Construction Contractors' Regulations?,,Source context loaded,4.0,929.0,0.85,1,0.5276299993852465,5420,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.3,Low,False,Success,21,120,0,Suggest a resignation process for leaving my job due to a high level of pressure from my manager regarding the workload?,,Source context loaded,6.0,1554.0,0.85,1,2.252717329962132,7048,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.95,High,False,Success,9,43,0,what is leave policy for a pragnant woman ?,,Source context loaded,3.0,680.0,0.85,1,0.7572890201002713,2413,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.92,High,False,Success,8,38,0,what is the law and regulation in HSE?,,Source context loaded,5.0,1391.0,0.85,1,2.1673141025786355,3454,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.95,High,False,Success,8,56,0,What are the requirements for explosion risk assessment?,,Source context loaded,9.0,2574.0,0.85,1,0.8376309308127992,3915,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.88,High,False,Success,11,55,0,• What is Leave policy for a pragnent lady during work.,,Source context loaded,5.0,1211.0,0.85,1,0.7568270496734071,4936,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.3,Low,False,Success,12,80,0,Who is responsible for describing the surroundings of a major accident activity?,,Source context loaded,7.0,2089.0,0.85,1,0.6628808087351741,4645,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,none,0.1,Low,True,Retrieval Failure: Missing Data,24,104,0,what should i do if my manager not allowed me to go 7 day sick leave ? should i complain to my manager ?,,No source found,0.0,0.0,0.0,1,1.7301951177026076,6638,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.85,Medium,False,Success,9,63,0,What are employee rights regarding work environment and safety?,,Source context loaded,9.0,2424.0,0.85,1,2.3830088018860733,3178,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.95,High,False,Success,8,56,0,What is the role of verneombud (safety representatives)?,,Source context loaded,9.0,2432.0,0.85,1,1.3779238610518378,2535,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,General_course,0.9,High,False,Success,8,37,0,what is the best course for manager ?,,Source context loaded,4.0,971.0,0.85,1,1.6287589646198604,6379,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,Course_Material,0.85,Medium,False,Success,10,55,0,What topics are covered in the HMS course for managers?,,Source context loaded,3.0,754.0,0.85,1,1.937083604619767,1712,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.85,Medium,False,Success,18,95,0,i have accedently burn in my workspace ? what is the processs of file this accedent in company?,,Source context loaded,7.0,1946.0,0.85,1,2.1880882659298475,4197,Claude Sonnet
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.6,Medium,False,Success,9,56,0,Do I need a medical certificate for workplace accidents?,,Source context loaded,5.0,1461.0,0.85,1,2.419852981214699,6042,Claude Haiku
2026-05-20 17:30:10.302553,2026-05-20,17,Wednesday,False,HSE_Laws,0.92,High,False,Success,6,56,0,Gjelder forskriften for virksomheter uten arbeidstakere?,,Source context loaded,15.0,4493.0,0.85,1,1.869194370142364,7683,Claude Sonnet
